Date,Open,High,Low,Close,Adj Close,Volume
2005-04-22,68.330002,68.779999,67.989998,68.489998,41.370956,7021900
2005-04-25,69.000000,69.500000,68.440002,68.540001,41.401154,5981500
2005-04-26,68.400002,68.690002,68.000000,68.019997,41.087059,5866900
2005-04-27,67.839996,68.400002,67.680000,68.330002,41.274326,5966400
2005-04-28,68.099998,68.339996,67.620003,67.660004,40.869606,6406300
2005-04-29,67.820000,68.629997,67.790001,68.629997,41.455528,6540900
2005-05-02,68.680000,68.830002,68.349998,68.779999,41.546135,4361200
2005-05-03,68.820000,68.830002,68.320000,68.730003,41.515938,5716300
2005-05-04,68.150002,68.250000,67.650002,68.220001,41.207859,8439700
2005-05-05,68.250000,68.599998,67.900002,68.510002,41.383041,6279600
2005-05-06,68.870003,68.870003,68.150002,68.209999,41.201832,4731000
2005-05-09,68.099998,68.290001,67.769997,68.169998,41.177666,6766100
2005-05-10,68.000000,68.150002,67.459999,67.730003,40.911888,6870600
2005-05-11,67.820000,68.110001,67.239998,67.949997,41.044785,4969700
2005-05-12,68.080002,68.139999,67.250000,67.650002,40.863571,4845300
2005-05-13,67.150002,67.379997,66.760002,67.099998,40.730030,5954700
2005-05-16,67.110001,67.639999,67.099998,67.639999,41.057812,3943500
2005-05-17,67.320000,67.949997,67.070000,67.910004,41.221684,5294400
2005-05-18,68.000000,68.080002,67.480003,67.599998,41.033524,8495100
2005-05-19,67.550003,67.730003,67.269997,67.410004,40.918190,8134400
2005-05-20,67.650002,67.650002,67.089996,67.199997,40.790718,6191100
2005-05-23,67.300003,67.580002,67.040001,67.260002,40.827148,5877000
2005-05-24,67.300003,67.690002,67.260002,67.599998,41.033524,8353300
2005-05-25,67.620003,67.699997,67.199997,67.470001,40.954605,4725900
2005-05-26,68.000000,68.000000,67.370003,67.419998,40.924267,5032300
2005-05-27,67.500000,67.680000,67.430000,67.430000,40.930336,4409900
2005-05-31,67.680000,67.690002,67.099998,67.099998,40.730030,6398300
2005-06-01,67.099998,67.610001,67.050003,67.309998,40.857479,4966200
2005-06-02,67.250000,67.250000,66.870003,67.000000,40.669327,6761600
2005-06-03,66.830002,66.949997,66.360001,66.440002,40.329418,6526000
2005-06-06,66.589996,66.720001,66.300003,66.379997,40.292950,7041700
2005-06-07,66.730003,66.940002,66.510002,66.540001,40.390118,5520700
2005-06-08,66.849998,66.849998,66.250000,66.360001,40.280849,5296300
2005-06-09,66.320000,66.860001,66.150002,66.730003,40.505432,5228900
2005-06-10,66.500000,66.709999,65.730003,66.480003,40.353687,5248400
2005-06-13,66.250000,66.949997,66.230003,66.470001,40.347603,5413400
2005-06-14,66.410004,66.800003,66.360001,66.580002,40.414364,3981700
2005-06-15,66.550003,66.550003,66.029999,66.349998,40.274784,4655300
2005-06-16,66.169998,66.580002,66.110001,66.300003,40.244419,4434800
2005-06-17,66.750000,66.750000,65.410004,66.559998,40.402241,14288000
2005-06-20,66.379997,66.800003,66.199997,66.550003,40.396175,8199500
2005-06-21,66.349998,66.699997,66.199997,66.529999,40.384048,8668900
2005-06-22,66.650002,66.669998,65.970001,66.000000,40.062317,8873100
2005-06-23,65.879997,66.099998,65.190002,65.349998,39.667751,8927500
2005-06-24,65.699997,66.290001,65.000000,65.580002,39.807381,18319900
2005-06-27,65.519997,65.910004,65.489998,65.650002,39.849854,6900200
2005-06-28,64.430000,66.099998,64.430000,66.070000,40.104801,6071700
2005-06-29,65.949997,65.989998,65.400002,65.699997,39.880222,7808300
2005-06-30,65.620003,65.680000,64.610001,65.000000,39.455330,9344300
2005-07-01,64.820000,65.430000,64.820000,64.949997,39.424969,6718200
2005-07-05,64.400002,65.250000,64.379997,64.849998,39.364273,6384100
2005-07-06,64.900002,64.930000,64.150002,64.150002,38.939346,6661400
2005-07-07,64.099998,64.099998,63.520000,63.919998,38.799755,8278900
2005-07-08,63.900002,64.300003,63.529999,64.279999,39.018265,8144900
2005-07-11,64.279999,64.820000,64.110001,64.790001,39.327835,6528500
2005-07-12,64.790001,65.000000,64.610001,64.779999,39.321785,5141600
2005-07-13,64.620003,64.889999,64.349998,64.419998,39.103245,6809800
2005-07-14,64.699997,64.879997,64.320000,64.599998,39.212521,6521400
2005-07-15,64.570000,65.150002,64.570000,65.029999,39.473522,6444500
2005-07-18,64.849998,65.070000,64.449997,64.599998,39.212521,5938000
2005-07-19,64.550003,65.059998,64.500000,65.019997,39.467449,11069400
2005-07-20,64.870003,64.959999,64.349998,64.959999,39.431038,7312600
2005-07-21,64.870003,64.870003,63.980000,63.980000,38.836166,9850100
2005-07-22,64.400002,64.400002,64.000000,64.320000,39.042545,5398400
2005-07-25,64.250000,64.290001,63.299999,63.340000,38.447681,6741900
2005-07-26,62.840000,63.369999,62.669998,62.669998,38.040989,12640400
2005-07-27,63.099998,64.769997,63.020000,64.540001,39.176086,10789500
2005-07-28,64.480003,64.839996,64.120003,64.730003,39.291439,6391600
2005-07-29,64.680000,64.779999,63.939999,63.959999,38.824024,6143200
2005-08-01,64.250000,65.349998,64.250000,64.500000,39.151810,7348200
2005-08-02,64.639999,64.709999,64.169998,64.629997,39.230709,5554800
2005-08-03,64.379997,65.010002,64.309998,64.870003,39.376396,5090400
2005-08-04,64.739998,64.949997,64.120003,64.150002,38.939346,4049200
2005-08-05,64.019997,64.080002,63.540001,63.540001,38.569077,5019400
2005-08-08,63.540001,63.680000,63.230000,63.439999,38.508385,4002000
2005-08-09,63.619999,64.019997,63.450001,64.019997,38.860439,4601200
2005-08-10,64.160004,64.660004,63.750000,63.849998,38.757263,5351200
2005-08-11,63.849998,64.500000,63.750000,64.309998,39.036488,4688300
2005-08-12,64.029999,64.169998,63.470001,63.560001,38.581230,4850200
2005-08-15,63.419998,63.590000,63.020000,63.349998,38.453758,5402600
2005-08-16,63.320000,63.380001,62.840000,63.009998,38.247372,5432300
2005-08-17,63.220001,63.779999,63.169998,63.500000,38.544807,5578500
2005-08-18,63.450001,64.440002,63.320000,64.250000,39.000061,9326100
2005-08-19,63.919998,64.150002,63.560001,63.570000,38.786510,6121400
2005-08-22,64.000000,64.059998,63.320000,63.500000,38.743809,5380900
2005-08-23,63.520000,63.580002,62.430000,62.759998,38.292297,8909000
2005-08-24,62.689999,62.939999,62.139999,62.250000,37.981140,8021300
2005-08-25,62.549999,63.200001,62.450001,62.529999,38.151955,6143000
2005-08-26,62.349998,62.410000,61.939999,61.939999,37.791988,5206200
2005-08-29,61.779999,63.119999,61.650002,63.009998,38.444836,6364800
2005-08-30,62.669998,63.060001,62.349998,63.000000,38.438721,7581500
2005-08-31,63.000000,63.500000,62.060001,63.389999,38.676693,8006900
2005-09-01,63.180000,63.730000,62.889999,63.130001,38.518059,6161300
2005-09-02,63.349998,63.580002,62.849998,62.900002,38.377724,4130400
2005-09-06,63.250000,64.019997,63.209999,63.790001,38.920753,7373700
2005-09-07,64.000000,64.889999,63.939999,64.800003,39.536983,7817400
2005-09-08,65.000000,65.000000,63.950001,64.099998,39.109882,6475900
2005-09-09,64.349998,64.980003,64.099998,64.730003,39.494282,5124300
2005-09-12,64.730003,64.949997,64.529999,64.680000,39.463760,5923500
2005-09-13,64.510002,64.699997,64.000000,64.050003,39.079369,6670100
2005-09-14,64.470001,64.709999,64.129997,64.300003,39.231915,7406200
2005-09-15,64.379997,64.489998,64.160004,64.370003,39.274635,4896200
2005-09-16,64.580002,65.220001,64.349998,65.180000,39.768848,12995300
2005-09-19,65.190002,65.199997,64.500000,64.650002,39.445457,7212500
2005-09-20,64.730003,64.800003,64.300003,64.400002,39.292931,5301000
2005-09-21,63.950001,65.309998,63.910000,64.699997,39.475960,7173600
2005-09-22,64.459999,65.330002,64.410004,64.680000,39.463760,7239000
2005-09-23,64.900002,64.910004,63.889999,63.990002,39.042778,7814400
2005-09-26,64.230003,64.449997,63.759998,63.869999,38.969555,5981900
2005-09-27,63.900002,63.950001,63.130001,63.450001,38.713306,6244000
2005-09-28,63.270000,63.610001,63.099998,63.209999,38.566864,5573200
2005-09-29,62.950001,63.849998,62.900002,63.750000,38.896336,6285300
2005-09-30,63.900002,63.939999,63.000000,63.279999,38.609566,5646500
2005-10-03,63.180000,63.250000,62.509998,62.580002,38.182480,6826600
2005-10-04,62.900002,63.279999,62.450001,63.049999,38.469234,6950300
2005-10-05,62.900002,63.189999,62.220001,62.250000,37.981140,6667700
2005-10-06,62.570000,62.590000,61.180000,61.570000,37.566242,12716200
2005-10-07,61.799999,61.799999,61.119999,61.340000,37.425903,11685000
2005-10-10,61.279999,62.169998,60.529999,61.470001,37.505238,7672600
2005-10-11,61.570000,61.680000,61.080002,61.290001,37.395409,7801000
2005-10-12,61.430000,62.099998,61.150002,61.799999,37.706562,8046500
2005-10-13,61.799999,64.599998,61.770000,64.019997,39.061069,19778100
2005-10-14,64.029999,64.040001,63.430000,63.700001,38.865829,13318800
2005-10-17,63.650002,63.650002,62.669998,63.000000,38.438721,9214800
2005-10-18,63.610001,64.000000,62.660000,62.970001,38.420433,19695000
2005-10-19,63.099998,64.349998,62.689999,64.320000,39.244106,13733400
2005-10-20,64.400002,64.589996,63.900002,64.169998,39.152584,8621500
2005-10-21,64.300003,64.489998,63.880001,64.070000,39.091579,13887900
2005-10-24,64.199997,64.500000,63.450001,64.099998,39.109882,8744600
2005-10-25,63.770000,63.950001,63.259998,63.580002,38.792610,7066600
2005-10-26,63.200001,63.580002,62.580002,62.810001,38.322800,8961100
2005-10-27,62.500000,62.520000,61.049999,61.439999,37.486931,14097200
2005-10-28,62.049999,62.990002,61.730000,62.950001,38.408222,8903800
2005-10-31,62.910000,63.000000,62.549999,62.619999,38.206882,9769300
2005-11-01,62.480000,62.740002,61.799999,61.900002,37.767586,9859100
2005-11-02,61.860001,62.700001,61.049999,61.299999,37.401505,15350500
2005-11-03,61.299999,61.549999,60.959999,61.200001,37.340485,16977300
2005-11-04,61.200001,61.330002,60.000000,60.880001,37.145245,15227200
2005-11-07,60.500000,61.580002,60.200001,61.430000,37.480812,9768400
2005-11-08,60.950001,61.200001,60.639999,60.770000,37.078125,7394800
2005-11-09,60.919998,61.400002,60.590000,61.020000,37.230652,7059600
